state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
31.0,48000,51,2448000,1665000,0.66,1616000,2000
36.0,84000,71,5964000,954000,0.86,5129000,2005
8.0,26000,42,1092000,339000,1.6,1747000,2009
25.0,10000,44,440000,154000,0.57,251000,1999
17.0,72000,64,4608000,2350000,1.19,5484000,2007
43.0,39000,61,2379000,381000,1.37,3259000,2008
28.0,45000,64,2880000,1123000,1.96,5645000,2010
42.0,7000,65,455000,410000,1.42,646000,2001
21.0,122000,70,8540000,2135000,0.6,5124000,1999
28.0,53000,57,3021000,1843000,1.38,4169000,2007
40.0,49000,44,2156000,862000,1.51,3256000,2008
23.0,320000,75,24000000,8160000,1.46,35040000,2002
29.0,16000,58,928000,353000,1.53,1420000,2004
38.0,8000,42,336000,114000,2.2,739000,2006
31.0,60000,32,1920000,845000,2.16,4147000,2012
29.0,14000,53,742000,371000,1.68,1247000,2008
43.0,35000,54,1890000,265000,1.72,3251000,2011
31.0,43000,49,2107000,885000,1.35,2844000,2002
35.0,8000,51,408000,106000,1.3,530000,1999
20.0,17000,72,1224000,649000,0.69,845000,2000
25.0,12000,32,384000,104000,1.2,461000,2005
6.0,59000,49,2891000,434000,0.89,2573000,2005
18.0,135000,81,10935000,1859000,0.65,7108000,2001
18.0,120000,74,8880000,1598000,0.9,7992000,2005
36.0,105000,79,8295000,2986000,0.57,4728000,2000
26.0,7000,56,392000,153000,1.69,662000,2011
23.0,460000,71,32660000,7512000,1.67,54542000,2011
11.0,9000,32,288000,101000,2.02,582000,2009
11.0,10000,43,430000,151000,2.23,959000,2010
35.0,6000,61,366000,59000,2.93,1072000,2012
31.0,45000,57,2565000,2026000,0.8,2052000,1999
10.0,7000,50,350000,98000,3.9,1365000,2011
42.0,8000,51,408000,102000,1.29,526000,2005
0.0,9000,50,450000,68000,1.86,837000,2009
42.0,7000,54,378000,234000,1.22,461000,2000
21.0,140000,77,10780000,3773000,1.08,11642000,2004
29.0,18000,70,1260000,504000,1.44,1814000,2002
4.0,36000,75,2700000,1458000,1.04,2808000,2006
19.0,22000,61,1342000,336000,0.71,953000,2001
8.0,26000,81,2106000,1221000,1.31,2759000,2007
43.0,38000,77,2926000,468000,0.65,1902000,2001
7.0,10000,92,920000,285000,1.7,1564000,2007
8.0,35000,67,2345000,1337000,1.06,2486000,2004
38.0,9000,52,468000,94000,1.26,590000,2001
28.0,60000,98,5880000,2470000,1.25,7350000,2002
32.0,25000,45,1125000,630000,0.76,855000,2000
24.0,51000,89,4539000,2043000,1.01,4584000,2004
14.0,29000,89,2581000,413000,1.08,2787000,2007
28.0,69000,70,4830000,2077000,0.66,3188000,1999
19.0,11000,53,583000,152000,1.68,979000,2008
39.0,5000,64,320000,96000,1.7,544000,2007
21.0,135000,68,9180000,2479000,0.99,9088000,2007
1.0,28000,80,2240000,672000,0.95,2128000,2007
38.0,4000,40,160000,21000,4.07,651000,2011
22.0,11000,49,539000,243000,1.43,771000,2000
16.0,5000,41,205000,33000,2.05,420000,2010
31.0,46000,43,1978000,1088000,1.31,2591000,2007
28.0,65000,80,5200000,2444000,0.7,3640000,1998
16.0,11000,41,451000,266000,1.21,546000,2002
3.0,380000,52,19760000,7706000,0.97,19167000,2006
1.0,45000,88,3960000,871000,1.26,4990000,2002
38.0,7000,42,294000,103000,1.5,441000,2000
27.0,10000,46,460000,175000,1.65,759000,1998
37.0,26000,45,1170000,433000,0.68,796000,1999
20.0,14000,98,1372000,453000,0.93,1276000,2006
16.0,8000,26,208000,193000,1.66,345000,2005
25.0,11000,40,440000,92000,1.0,440000,2002
0.0,12000,86,1032000,103000,1.18,1218000,2002
40.0,71000,38,2698000,836000,1.93,5207000,2011
2.0,38000,63,2394000,1197000,1.08,2586000,2002
0.0,16000,71,1136000,159000,0.72,818000,1998
25.0,14000,33,462000,51000,1.97,910000,2012
14.0,35000,98,3430000,240000,0.79,2710000,2004
9.0,120000,50,6000000,2220000,0.65,3900000,1998
19.0,18000,50,900000,189000,1.42,1278000,2002
35.0,8000,59,472000,131000,1.39,656000,2001
13.0,3000,50,150000,12000,1.24,186000,1999
41.0,80000,75,6000000,4560000,0.68,4080000,1999
34.0,225000,51,11475000,2410000,1.42,16295000,2002
3.0,470000,50,23500000,3525000,1.32,31020000,2002
13.0,4000,61,244000,54000,2.12,517000,2007
43.0,39000,75,2925000,380000,1.1,3218000,2004
6.0,55000,57,3135000,188000,0.7,2195000,2001
13.0,3000,50,150000,51000,1.4,210000,1998
12.0,14000,80,1120000,683000,1.18,1322000,2004
40.0,56000,63,3528000,1376000,0.98,3457000,2004
37.0,23000,38,874000,315000,0.65,568000,2001
24.0,41000,55,2255000,902000,1.51,3405000,2010
21.0,136000,102,13872000,4578000,0.67,9294000,2001
13.0,5000,48,240000,14000,1.67,401000,2003
39.0,7000,59,413000,211000,0.68,281000,2000
9.0,100000,46,4600000,1610000,0.67,3082000,2001
22.0,12000,52,624000,137000,2.18,1360000,2008
24.0,45000,49,2205000,1477000,1.03,2271000,2007
35.0,6000,54,324000,91000,1.73,561000,2004
13.0,5000,54,270000,78000,1.63,440000,2002
13.0,5000,50,250000,40000,2.08,520000,2005
9.0,120000,48,5760000,3110000,0.59,3398000,1999
11.0,8000,64,512000,189000,1.18,604000,2005
18.0,117000,73,8541000,1110000,1.47,12555000,2002
7.0,7000,112,784000,125000,0.82,643000,2000
27.0,10000,28,280000,67000,2.99,837000,2007
38.0,7000,38,266000,69000,2.1,559000,2004
38.0,8000,37,296000,59000,2.2,651000,2005
23.0,450000,77,34650000,7623000,1.38,47817000,2009
28.0,64000,67,4288000,1887000,1.36,5832000,2004
9.0,100000,63,6300000,2520000,1.02,6426000,2004
3.0,465000,60,27900000,9486000,0.55,15345000,1999
12.0,13000,67,871000,854000,1.11,967000,1999
43.0,40000,56,2240000,291000,0.89,1994000,2005
4.0,23000,80,1840000,791000,1.35,2484000,2004
8.0,32000,59,1888000,868000,1.42,2681000,2003
26.0,7000,48,336000,104000,1.19,400000,2006
37.0,24000,45,1080000,346000,0.95,1026000,2005
6.0,55000,57,3135000,376000,0.63,1975000,2000
9.0,103000,46,4738000,1706000,1.52,7202000,2009
32.0,30000,37,1110000,377000,2.13,2364000,2010
32.0,26000,66,1716000,789000,0.8,1373000,1998
0.0,14000,73,1022000,235000,0.72,736000,2001
14.0,41000,111,4551000,865000,0.59,2685000,1998
21.0,130000,67,8710000,3136000,0.86,7491000,2005
23.0,480000,69,33120000,5962000,1.92,63590000,2012
28.0,67000,72,4824000,1640000,1.36,6561000,2003
27.0,12000,46,552000,442000,3.11,1717000,2005
22.0,13000,44,572000,172000,1.48,847000,2001
40.0,48000,52,2496000,1048000,0.72,1797000,2001
37.0,24000,70,1680000,554000,1.1,1848000,2004
10.0,8000,56,448000,116000,2.59,1160000,2008
8.0,30000,67,2010000,1206000,0.68,1367000,2000
40.0,51000,55,2805000,1935000,1.01,2833000,2005
14.0,43000,94,4042000,1334000,0.52,2102000,2000
33.0,5000,94,470000,14000,1.25,588000,2002
5.0,200000,69,13800000,1794000,1.56,21528000,2010
32.0,26000,57,1482000,785000,0.92,1363000,2001
17.0,71000,58,4118000,1524000,1.67,6877000,2010
11.0,7000,54,378000,125000,1.58,597000,2006
16.0,10000,26,260000,117000,0.69,179000,1998
6.0,65000,41,2665000,346000,1.47,3918000,2009
24.0,43000,65,2795000,1146000,1.93,5394000,2012
0.0,11000,56,616000,209000,1.49,918000,2007
26.0,10000,70,700000,350000,0.66,462000,2001
4.0,24000,86,2064000,722000,1.4,2890000,2003
31.0,46000,48,2208000,729000,1.05,2318000,2006
28.0,53000,70,3710000,1781000,0.79,2931000,2001
41.0,89000,91,8099000,5264000,0.72,5831000,1998
4.0,29000,60,1740000,957000,0.62,1079000,2000
8.0,50000,78,3900000,2301000,0.7,2730000,1998
22.0,10000,50,500000,215000,1.57,785000,2006
26.0,7000,66,462000,157000,1.58,730000,2010
23.0,390000,78,30420000,9126000,1.05,31941000,2004
43.0,46000,60,2760000,524000,0.68,1877000,1998
20.0,21000,69,1449000,246000,1.29,1869000,2003
24.0,45000,74,3330000,1299000,1.38,4595000,2003
42.0,9000,51,459000,151000,1.32,606000,2002
9.0,100000,47,4700000,2679000,0.52,2444000,2000
19.0,15000,46,690000,117000,0.98,676000,2006
16.0,11000,23,253000,86000,1.6,405000,2006
35.0,6000,40,240000,46000,1.52,365000,2003
36.0,116000,76,8816000,1411000,0.97,8552000,2004
20.0,14000,104,1456000,87000,1.32,1922000,2009
28.0,49000,56,2744000,1235000,1.96,5378000,2011
9.0,92000,32,2944000,530000,1.63,4799000,2012
31.0,42000,54,2268000,1111000,1.21,2744000,2004
30.0,6000,45,270000,49000,1.34,362000,1999
16.0,7000,31,217000,37000,1.28,278000,2004
38.0,6000,39,234000,56000,3.45,807000,2009
2.0,52000,62,3224000,1548000,0.62,1999000,1999
1.0,28000,75,2100000,525000,1.35,2835000,2008
3.0,400000,75,30000000,9300000,0.86,25800000,2005
34.0,235000,121,28435000,12796000,0.58,16492000,2000
14.0,30000,90,2700000,675000,0.9,2430000,2006
17.0,72000,77,5544000,1885000,1.4,7762000,2002
11.0,10000,81,810000,437000,0.9,729000,1999
18.0,135000,75,10125000,1924000,1.08,10935000,2004
18.0,125000,67,8375000,1591000,1.92,16080000,2012
35.0,8000,61,488000,137000,1.4,683000,2002
17.0,80000,85,6800000,3672000,0.66,4488000,1998
0.0,9000,66,594000,214000,1.9,1129000,2008
41.0,74000,77,5698000,2678000,1.47,8376000,2003
20.0,14000,98,1372000,110000,1.3,1784000,2008
8.0,33000,51,1683000,875000,0.75,1262000,2001
18.0,140000,79,11060000,2765000,0.65,7189000,1998
36.0,89000,63,5607000,1065000,1.39,7794000,2009
28.0,50000,70,3500000,1260000,1.65,5775000,2008
10.0,10000,66,660000,356000,2.14,1412000,2006
34.0,225000,47,10575000,10575000,0.94,9941000,2006
0.0,9000,54,486000,73000,2.4,1166000,2010
